Operator Clock Number,Heat Number,Sequence Number,LEW Grade Index,USS Grade ,Treatment Start Date,Treatment Start Time,Total Cycle Time,Hot Metal Weight,HM WGT TONS,Hot Metal Start Temp,Hot Metal Silicon,Start Sulfur,Aim Sulfur,Actual Aim Sulfur,Final Sulfur,0,Ordered Mg,Actual Mg,MG Kg/T,$ mag ,Ordered Lime,Actual Lime,lime Kg/T,$ Lime ,TOTAL $,$ / TON,$/T/P,kg/t/p,,Injection Cycle Time,RATIO,Reshot Final Sulfur,Reshot Ordered Mg,Reshot Actual Mg,Reshot Ordered Lime,Reshot Actual Lime,Reshot Cycle Time,"System ""A"" Usage","System ""B"" Usage","Lance ""A"" Used","Lance ""A"" ID","Lance ""A"" Minutes","Lance ""B"" Used","Lance ""B"" ID","Lance ""B"" Minutes",Skim Weight,SKIM %,Ladle (LD) Analysis Sulfur,RHOB (R) Sulfur,LTS (L) Sulfur,Caster Final (F20) Sulfur,,,,,mag price,lime price
531000000,756422,98,DS0508E,KL22,11/02/2009,14:25:51,00:39:06,208400,208,1351,0.405,0.043,0.004,0.004,0.005,0,144,143,0.6862,$713.3269,389,381,1.828,$126.6825,$840.0094,$4.0308,$0.1061,,,00:05:56,2.66,,,,,,00:00:00,1,1,1,40,11:05:00,1,36,06:37:00,2630,1.26%,0.0059,,0.0063,0.0062,,,,,,
531000000,756449,170,DS0005A,FA84,12/02/2009,14:34:58,00:44:32,225100,225,1287,0.38,0.089,0.014,0.004,0.002,0,259,259,1.1506,$1,291.9697,699,681,3.025,$226.4325,$1,518.4022,$6.7455,$0.0775,,,00:10:28,2.63,,,,,,00:00:00,1,1,1,40,14:11:00,1,36,09:52:00,4800,2.13%,0.0071,,0.0073,0.0079,,,,
531000000,756451,27,DS0001R,AM08,12/02/2009,16:27:33,00:35:09,234200,234,1246,0.379,0.094,0.004,0.004,0.002,0,281,281,1.1998,$1,401.7123,759,731,3.121,$243.0575,$1,644.7698,$7.0229,$0.0763,,,00:11:14,2.6,,,,,,00:00:00,1,1,1,40,14:32:00,1,36,10:12:00,6200,2.65%,0.0075,0.0077,,0.0077,,,,
531000000,756500,109,DS1315C,NA28,16/02/2009,17:57:05,00:24:43,229900,230,1338,0.877,0.038,0.004,0.004,0.002,0,149,149,0.6481,$743.2567,402,396,1.722,$131.6700,$874.9267,$3.8057,$0.1057,,,00:06:10,2.66,,,,,,00:00:00,1,1,1,41,02:05:00,1,36,16:39:00,5500,2.39%,0.0056,0.0072,,0.008,,,,,,
531000000,801501,33,DS0006A,FK41,20/02/2009,07:55:45,00:20:18,198300,198,1335,1.392,0.016,0.004,0.004,0.003,0,84,84,0.4236,$419.0172,227,219,1.104,$72.8175,$491.8347,$2.4803,$0.1908,,,00:03:38,2.61,,,,,,00:00:00,1,1,1,41,08:53:00,1,36,23:52:00,4090,2.06%,0.0086,0.0081,,0.0084,,,,,,
531000000,801503,35,DS0006A,FK41,20/02/2009,09:31:32,00:23:56,193400,193,1372,1.33,0.014,0.004,0.004,0.003,0,79,79,0.4085,$394.0757,213,209,1.081,$69.4925,$463.5682,$2.3969,$0.2179,,,00:03:34,2.65,,,,,,00:00:00,1,1,1,41,09:00:00,1,36,23:59:00,2480,1.28%,0.0075,,0.0097,0.0097,,,,,,
531000000,801505,1,DS0006A,FK41,20/02/2009,11:13:48,00:29:23,191700,192,1404,1.361,0.014,0.004,0.004,0.004,0,78,78,0.4069,$389.0874,211,207,1.08,$68.8275,$457.9149,$2.3887,$0.2389,,,00:03:26,2.65,,,,,,00:00:00,1,1,1,41,09:06:00,1,36,24:06:00,2040,1.06%,0.0069,,0.0095,0.0084,,,,,,
531000000,801507,41,DS0810T,KY12,20/02/2009,12:44:09,00:27:24,199200,199,1382,1.497,0.014,0.004,0.004,0.003,0,81,80,0.4016,$399.0640,219,209,1.049,$69.4925,$468.5565,$2.3522,$0.2138,,,00:03:32,2.61,,,,,,00:00:00,1,1,1,41,09:13:00,1,36,24:12:00,2320,1.16%,0.0056,,0.0041,0.0036,,,,,,
531000000,801510,44,DS0810T,KY12,20/02/2009,16:52:27,01:36:54,200800,201,1379,1.503,0.015,0.004,0.004,0.004,0,83,83,0.4133,$414.0289,224,226,1.125,$75.1450,$489.1739,$2.4361,$0.2215,,,00:03:44,2.72,,,,,,00:00:00,1,1,1,41,09:23:00,1,36,24:23:00,2440,1.22%,0.0069,,0.006,0.006,,,,,,
531000000,756561,21,DS0507L,FK46,21/02/2009,09:12:38,00:22:57,201200,201,1378,0.9,0.021,0.004,0.004,0.004,0,96,97,0.4821,$483.8651,259,265,1.317,$88.1125,$571.9776,$2.8428,$0.1672,,,00:04:12,2.73,,,,,,00:00:00,1,1,1,41,10:44:00,1,36,25:44:00,3780,1.88%,0.0068,,0.0072,0.0072,,,,,,
531000000,801519,23,DS0507L,FK46,21/02/2009,10:45:57,00:28:25,208300,208,1366,0.775,0.02,0.004,0.004,0.004,0,98,98,0.4705,$488.8534,265,265,1.272,$88.1125,$576.9659,$2.7699,$0.1731,,,00:04:18,2.7,,,,,,00:00:00,1,1,1,41,10:52:00,1,36,25:51:00,3540,1.70%,0.0066,,0.0068,0.0067,,,,,,
531000000,756627,85,DS0508E,KL22,24/02/2009,19:34:47,00:37:14,203200,203,1361,0.824,0.077,0.004,0.004,0.003,0,210,208,1.0236,$1,37.5664,567,544,2.677,$180.8800,$1,218.4464,$5.9963,$0.0810,,,00:09:24,2.62,,,,,,00:00:00,1,1,1,41,19:54:00,1,27,06:08:00,4660,2.29%,0.0057,,0.006,0.006,,,,
531000000,801548,87,DS0508E,KL22,24/02/2009,21:11:45,00:29:52,210500,211,1347,0.648,0.079,0.004,0.004,0.004,0,221,221,1.0499,$1,102.4143,597,521,2.475,$173.2325,$1,275.6468,$6.0601,$0.0808,,,00:09:54,2.36,,,,,,00:00:00,1,1,1,41,20:10:00,1,27,06:23:00,4660,2.21%,0.0065,,0.0071,0.0072,,,,
531000000,801550,89,DS0508E,KL22,24/02/2009,23:21:47,00:30:57,207100,207,1391,0.463,0.104,0.004,0.004,0.005,0,269,270,1.3037,$1,346.841,726,629,3.037,$209.1425,$1,555.9835,$7.5132,$0.0759,,,00:10:44,2.33,,,,,,00:00:00,1,1,1,41,20:29:00,1,27,06:42:00,4040,1.95%,0.0065,0.0075,,0.0074,,,,
531000000,756652,111,DS0508B,KL16,26/02/2009,02:29:00,00:28:30,218100,218,1327,0.378,0.065,0.004,0.004,0.004,0,199,199,0.9124,$992.6717,537,493,2.26,$163.9225,$1,156.5942,$5.3030,$0.0869,,,00:08:05,2.48,,,,,,00:00:00,1,1,1,41,25:00:00,1,27,11:08:00,3610,1.66%,0.0037,,0.0035,0.003,,,,,
